,0
1925,0.07
1926,0.67
1927,2.14
1928,0.51
1929,-0.03
1930,1.32
1931,0.01
1932,-0.02
1933,0.32
1934,0.02
1935,0.46
1936,0.13
1937,-0.06
1938,0.83
1939,0.47
1940,-0.33
1941,0.43
1942,0.37
1943,0.05
1944,-1.0
1945,-0.32
1946,0.17
1947,-0.08
1948,0.17
1949,-1.06
1950,0.9
1951,-0.76
1952,0.3
1953,2.43
1954,-0.73
1955,-0.38
1956,2.72
1957,-0.4
1958,-0.05
1959,-0.34
1960,-0.06
1961,-0.33
1962,-2.74
1963,0.03
1964,-0.93
1965,-2.46
1966,-0.49
1967,-0.28
1968,-0.78
1969,0.13
1970,0.68
1971,4.89
1972,0.3
1973,-0.05
1974,3.63
1975,-1.02
1976,-0.1
1977,0.85
1978,-0.12
1979,0.08
1980,-1.74
1981,0.58
1982,-0.96
1983,-4.19
1984,-0.88
1985,-1.09
1986,-1.54
1987,-0.57
1988,0.11
1989,0.21
1990,0.39
1991,-0.17
1992,2.23
1993,0.43
1994,-0.65
1995,1.76
1996,-0.42
1997,-0.58
1998,2.29
1999,-0.64
2000,-1.04
2001,2.91
2002,-1.46
2003,-0.89
2004,2.21
2005,-1.37
2006,-0.25
2007,0.69
2008,-0.4
2009,-0.35
2010,-2.08
2011,-0.03
2012,-0.89
2013,-2.63
2014,-0.26
2015,0.21
2016,-1.9
2017,0.92
2018,1.14
2019,1.96
2020,1.78
2021,0.72
